generation,bestFitness,meanFitness,stdFitness,sigma,successRate
1,55.167,50.028,4.685,0.5000,1.000
2,55.183,55.168,0.011,0.5000,1.000
3,55.183,55.176,0.006,0.5000,0.667
4,55.187,55.184,0.003,0.5000,0.750
5,55.187,55.186,0.002,0.6100,0.600
6,55.187,55.186,0.002,0.7442,0.400
7,55.187,55.186,0.002,0.7442,0.200
8,55.187,55.186,0.001,0.7442,0.200
9,55.187,55.186,0.001,0.6102,0.000
10,55.190,55.188,0.002,0.6102,0.200
11,55.190,55.189,0.002,0.6102,0.200
12,55.192,55.190,0.002,0.7445,0.400
13,55.192,55.191,0.001,0.9083,0.400
14,55.193,55.192,0.001,1.1081,0.600
15,55.193,55.192,0.001,1.3519,0.400
16,55.193,55.192,0.001,1.6493,0.400
17,55.193,55.192,0.001,1.6493,0.200
18,55.193,55.192,0.001,1.6493,0.200
19,55.193,55.192,0.001,1.3524,0.000
20,55.193,55.192,0.001,1.1090,0.000
21,55.193,55.192,0.001,0.9094,0.000
22,55.193,55.192,0.001,0.7457,0.000
23,55.193,55.192,0.001,0.6115,0.000
24,55.193,55.192,0.001,0.5014,0.000
25,55.193,55.192,0.001,0.4111,0.000
26,55.193,55.192,0.001,0.3371,0.000
27,55.193,55.192,0.001,0.2765,0.000
28,55.193,55.192,0.001,0.2267,0.000
29,55.193,55.192,0.001,0.1859,0.000
30,55.193,55.192,0.001,0.1524,0.000
31,55.193,55.192,0.001,0.1250,0.000
32,55.194,55.193,0.001,0.1250,0.200
33,55.194,55.193,0.001,0.1250,0.200
34,55.194,55.193,0.001,0.1250,0.200
35,55.194,55.193,0.001,0.1250,0.200
36,55.194,55.193,0.001,0.1250,0.200
37,55.194,55.193,0.001,0.1025,0.000
38,55.194,55.193,0.001,0.0840,0.000
39,55.194,55.193,0.001,0.0689,0.000
40,55.194,55.193,0.001,0.0565,0.000
41,55.194,55.193,0.001,0.0463,0.000
42,55.194,55.193,0.001,0.0380,0.000
43,55.194,55.193,0.001,0.0312,0.000
44,55.194,55.193,0.001,0.0256,0.000
45,55.194,55.193,0.001,0.0210,0.000
46,55.194,55.193,0.001,0.0172,0.000
47,55.194,55.193,0.001,0.0141,0.000
48,55.194,55.193,0.001,0.0116,0.000
49,55.194,55.193,0.001,0.0095,0.000
50,55.194,55.193,0.001,0.0078,0.000
